"PK","Name","AlternateName","Русское название", "Country","Sea","Region","Lon","Lat","Notes","OrderOfLargestUse","LargestUse","DecadeOfMostRecentReportedUse","HerdCompositions","Use_in_Jan_Feb_Mar","Use_in_Apr_May_Jun","Use_in_Jul_Aug_Sep","Use_in_Oct_Nov_Dec","LinearFeature"
44,"Cape Lisburne","First Beach; Kittiwake Beach; Grizzly Bear Beach",,"US","Chukchi","Eastern Chukchi Sea","-166.21437","68.88261","Haulout description:
Cape Lisburne is a prominent cape 65km north of Point Hope.  Walruses utilize several haulout sites along northern rocky coastline of Cape Lisburne. The most consistently used haulout site is immediately adjacent to the runway serving the Long Range Radar Station (Known locally as First Beach). Walruses have also been reported at small pocket beaches west of runway (Kittiwake Beach and Grizzly Bear Beach), and along the rocky shoreline at the NW tip of the Cape. 

History of use:
Cape Lisburne is a historically significant haulout site with recorded use dating back to the start of the previous century (Bernard 1923; Fay 1957). Fay and others (1984), report that the site was re-occupied in the 1970's after approximately 30 years of disuse. US Fish and Wildlife Service Maritime National Wildlife Refuge biologists conducting seabird surveys at Cape Lisburne reported regular use of Cape Lisburne walrus haulout sites in the mid-1970's through late 1990's. Groups of walruses (30-500 animals), were commonly observed on area beaches from mid-July through September (Frost and others 1983). In the early 2000's, Long Range Radar Station staff reported sightings of groups of up to several thousand animals (predominately female walruses and their dependent young) hauled out on area beaches for periods ranging from a few days up to several weeks (David Roseneau of the US Fish and Wildlife Service Maritime National Wildlife Refuge written communication to USFWS 2004).  Point Hope residents confirm regular use of Cape Lisburne haulout sites in recent years (Huntington and Quakenbush 2013).  Local walrus hunters note that the number of animals using the Cape Lisburne haulout sites vary from day to day and from year to year; some years thousands of animals are seen; in other years numbers are substantially lower (Ronald Oviok Sr. of the Eskimo Walrus Commission oral communication to J. Garlich-Miller of the USFWS, 2013).  In 2014 the Alaska Sea Life Center placed an automated camera system near First Beach, and observed 15 walruses on shore together on 16 September 2014 (Johnathan Snyder of the USFWS written communication to A.S. Fischbach 31 March 2015).  USGS tracked numerous walruses past Cape Lisburne during the 2014 autumn migration, and indicated that two hauled out at Cape Lisburne (walrus 721 hauled out and shucked her tag at 18:00 UTC on  23 August 2014, and walrus 749 hauled out and shucked her tag at 14:00 UTC on 6 September 2014).  Both haulouts appear to have occurred very near the western-most point of Cape Lisburne, 2.1 statute miles west of the end of the airstrip and 1.38 statute miles west of the vehicle trails visible in Google Earth images.  Many other USGS tracked walruses passed close to the cape, and several milled about foraging near to the cape.  Contact the Alaska Maritime National Wildlife Refuge or the Cape Lisburne Long Range Radar Site for further information.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,0
47,"Cape Netten",,"мыс Нэттэн","RU","Chukchi","Western Chukchi Coast","-171.90164","66.96184","Haulout Description:  
Cape directly east of the settlement of Enurmino, just west of Cape Serdtse Kamen'.

Historical Use:  
Use noted during 1960-1965 by Gol'tsev (1968). Sporadic use reported in the 1990's by Zheleznov-Chukotsky and others (2003), unpublished data of Chukotka Fish Inspection and local hunters (oral communication to A.A. Kochnev of the ChukotTINRO).",2,"At least 100 and fewer than 1,000 walruses",1990,"Not reported",0,0,0,0,0
48,"Cape Newenham","Bird Rock; Bird Rock Cove; Airforce Cove; Security Cove",,"US","Bering","Bristol Bay","-162.12400","58.65600","Haulout description:
Cape Newenham marks the divide between Kuskokwim Bay to the north, and Bristol Bay to the south. Walrus haulouts have been reported at several pocket beaches and offshore rocks, primarily along the north side of the Cape (e.g. Bird Rock, Bird Rock Cove, Airforce Cove and Security Cove).  Walrus haulouts have also been reported along the southern coast of Cape Newenham (USFWS, unpublished). 

History of use:
Walrus haulout use at Cape Newenham was first reported in the early 1970's (Frost and others 1982). Cape Newenham has been monitored by USFWS staff since the 1980's, with peak seasonal numbers (typically June or July) ranging from 4 to 5,444 animals. Summer use has declined since the late 1990's (MacDonald and Winfree 2006). Fall/winter use by herds of up to several hundred animals has been reported in recent years during sea-ice free conditions (Michael Winfree of the Togiak National Wildlife Refuge written communication, 2013). For more information regarding haulout use at this site and land access, contact the Togiak National Wildlife Refuge or the State Game Refuge Management at the Alaska Department of Fish and Game in Anchorage.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately males",0,1,1,1,0
51,"Cape Ngagleynyn",,"мыс Нгаглейнын","RU","East Siberian","East Siberian coast","168.30212","69.53482","Haulout Description:  
Cape on western coast of Chaunskaya Bay opposite of Ayon Island.

Historical Use:  
Use by walruses in 19th Century and beginning of 20th Century reported by local hunters (oral communication to A.A. Kochnev of the ChukotTINRO).  No haulout size was indicated in the reports.",-1,"Not Reported",1900,"Not reported",0,0,0,0,0
52,"Cape Ngeegchen",,"мыс Нгээгчэн","RU","Bering","Bering Strait and Chirikov Basin","-172.43895","64.91683","Haulout Description:  
Minor cape on mainland just north of Akrakamchechen Island.

Historical Use:  
Use reported by unspecified number of walruses reported by V.K. Arsen'ev (1927) before 1927.  Decade of most recent use assigned to 1920.",-1,"Not Reported",1920,"Not reported",0,0,0,0,0
53,"Cape Nunyamo",,"мыс Нунямо","RU","Bering","Bering Strait and Chirikov Basin","-170.53943","65.62704","Haulout Description:  
Walruses rest on a coastal strip northeast of the mouth of the Nunyamovaam River up to 1 km in length along the cape at northern mouth of Lavrentiya Bay, 20 km to the west-northwest of Lavrentia.  The substrate of the beach includes boulders and is bordered by a steep slope.

Historical Use:  
First noted by Zenkovich (1938) and Nikulin (1941) as used in 1934. Use was noted during the 1980 and 1985 aerial surveys (Fedoseev 1981, Fedoseev and Razlivalov 1986). Regularly use during the 1990's and 2010's by up to 20,000 walruses reported by Kochnev (2004 and 2012) and by Zdor and others (2009).  Monitoring of the haulout during the late autumn season of sea ice formation is logistically challenging, however satellite images collected on 24 November 2011 indicate substantial numbers of walruses along the beach northeast of the mouth of the Nunyamovaal River (Kochnev 2012).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Not reported",0,0,1,1,0
54,"Cape Olyutorsky","Cape Olyutorski","мыс Олюторский","RU","Bering","Koryak Coast","170.33658","59.93321","Haulout Description:  Cape at southern bound of Koryak Coast.

Historical Use:  
Use noted as a personal communication to F.H. Fay by V. N. Gol'tsev in Fay (1982). Regularly used by walruses in 1980's during the autumn by up to 3,500 walruses (Semenov and others 1988, Burkanov 1988, Burkanov and others 1988).",3,"At least 1,000 and fewer than 10,000 walruses",1980,"Not reported",0,0,1,1,0
55,"Cape Onmyn",,"Мыс Онмын","RU","Chukchi","Western Chukchi Coast","-175.26796","67.65853","Haulout Description:  
Prominent cape 32 km to the east-southeast of Cape Vankarem.

Historical Use:  
Irregularly used by up to 9 thousand walruses from late 1990's to present (Kochnev 2004, Kochnev and others 2008b, Kochnev 2010a, Kochnev 2012).  The herd composition is likely 'predominately female and dependent young', however the available reports do not conclusively indicate the age and sex composition and available photography of the haulout lack resolution to determine age and sex composition (A.A. Kochnev personal observation).  Available reports indicate use beginning in late August or September and local hunters indicate presence of walrus during October.  Radio tracking during the autumn of 2007 indicate that walruses move between Cape Vankarem, Kolyuchin Island and this haulout during early October before moving further east to the Cape Serdtse Kamen' and Cape Inkigur haulouts (Kochnev and others 2008).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately females and dependent calves",0,0,1,1,0
57,"Cape Pe'ek","Dezhnev; Dezhneva; Naukan; Cape Dezhnev; East Cape; Cape Peek","мыс Пээк","RU","Bering","Bering Strait and Chirikov Basin","-169.81261","66.00676","Haulout Description:  
Prominent cape south of Cape Dezhnev.

Historical Use:  
Regularly use by walruses in 1980's through the 2000's, with more than 10,000 walruses reported present during November 2011 (Kochnev, 2004, Kochnev 2012, Kochnev unpublished Data held by ChukotTINRO and ChAZTO).  Systematic observation efforts during 2011 indicate that this haulout forms during late September and is used throughout November by a mix of age and sex classes, with a maximum haulout size reported to have been more than 10,000 during November of 2011 (Kochnev 2012).  Use by up to 4,000 walruses was noted during the autumn aerial surveys of 1964, 1970, 1975, 1980, 1985, 1990  (Gol'tsev 1968, Gol'tsev 1972, Estes and Gol'tsev 1984, Fedoseev 1981, Fedoseev and Razlivalov 1986, Gilbert and others 1992).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,0
58,"Cape Peirce","Maggy Beach; Odobenus Cove; South Firebaugh; North Firebaugh; Parlier Beach","Мыс Пещера","US","Bering","Bristol Bay","-161.75600","58.57000","Haulout description:
A point of land south of Nanvak Bay in northern Bristol Bay. There are five regularly used walrus haulout sites at Cape Peirce: Odobenus Cove; South and North Firebaugh Cove; Parlier Beach; and Maggy Beach.

History of use:
Cape Peirce was historically used as a walrus haulout, but was abandoned sometime during the first half of the 20th century (Fay 1957). Walrus reoccupied Cape Pierce haulouts in 1981, and have returned every summer since. Haulout use has been monitored by the USFWS, Togiak National Wildlife Refuge since the 1980's, with peak seasonal numbers ranging from 284 to 12,500 animals (MacDonald and Winfree 2006, Lowe and Walsh 2011). Summer use has declined substantially since the early 1990's, although haulouts of more than one thousand in number have been observed during August through November of 2011 and large herds (up to several thousand animals) are reported in October-December in recent years (Lowe and Walsh 2011, Winfree 2012). For more information regarding haulout use at this site, contact the Togiak National Wildlife Refuge.",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Predominately males",0,1,1,1,0
59,"Cape Pygylan","Cape Pygylan (Arakamchechen Island)","мыс Пыгылян","RU","Bering","Bering Strait and Chirikov Basin","-172.58704","64.67850","Haulout Description:   
Southwest cape on Arakamchechen Island.  

Historical Use: 
Used by more than 100 walruses in the end of 19th and beginning of 20th centuries (oral communication of local elders to A.A. Kochnev of the ChukotTINRO).   Sporadic use is suggested during the 1970's (Arutyunov and others 1982). In July 2013 tourists from a cruise ship observed 200-300 walruses here (E. Syroyechkovskiy, oral communication to A.A. Kochnev).",2,"At least 100 and fewer than 1,000 walruses",2010,"Not reported",0,0,1,0,0
60,"Cape Retkyn",,"мыс Рэткын","RU","Bering","Gulf of Anadyr","-177.17222","65.53000","Haulout Description:  
East extremity of Meechkyn Spit Island.  


Historical Use:  
First noted by Belopol'sky (1931 unpublished report) before 1931. Used by walruses in 1930's (Belopol'sky 1939,  Nikulin 1941) and from late 1980's to present used by up to 5,500 walruses (Kochnev 2007, unpublished reports of OkhotskRybVod and ChukotTINRO).  The presence of mixed age and sex classes is based on observer reports, but has not been confirmed by trained observers.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Mixed age and sex classes",0,0,1,0,0
61,"Cape Ryrkalen",,"мыс Рыркален","RU","Chukchi","Western Chukchi Coast","-174.72598","66.91786","Haulout Description:  
Cape on west shore of Kolyuchin bay.

Historical Use:  
Sporadic use by up to 150 walruses reported during the 1980's and 1990's (local hunters oral communication to A.A. Kochnev of the ChukotTINRO).",2,"At least 100 and fewer than 1,000 walruses",1990,"Not reported",0,0,1,0,0
62,"Cape Sabine",,,"US","Chukchi","Eastern Chukchi Sea","-164.61850","68.91500","Haulout description:  
Central Ledyard Bay 20 km east-northeast of Corwin Bluff.  Specific haulout sites not identified.

History of use:
Point Lay residents report that walruses occasionally haul out near Cape Sabine in the fall (Huntington and others 2013). Satellite telemetry data indicated use of this area in September 2009 and 2011 (http://alaska.usgs.gov/science/biology/walrus/tracking.html accessed 30 November 2013).  Contact the Arctic Slope Regional Corporation for further information.",2,"At least 100 and fewer than 1,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,0
63,"Cape Sarichef","Unimak Island - Cape Sarichef",,"US","Bering","Alaska Peninsula","-164.92536","54.59997","Haulout description:
Cape Sarichef is on the northwest tip of Unimak Island and is the sight of a lighted aid to navigation.

History of use: 
Walrus were reported to have been numerous north of Unimak Island prior to the arrival of commerial hunters in the late 1890's (Murie 1959).  Frost and others (1982) note a sighting of a single male walrus at Cape Sarichef in March of 1980.  Pilot Joe Phillips observed approximately 60 walruses hauled out one April during his tenure as a pilot for Peninsula Air (1998-2000; oral communication to A. Fischbach of the USGS, 2015).  In 2014 Stacey Lowe reported that 126 walruses were observed on 16 July, and 40 to 50 walruses were observed on 22 July by Izembek NWR staff (Lowe 2015). The observers was unable to determine the age and sex of the walruses, however, only independent male walruses have been reported to haulout during the summer in the southern Bering Sea.  Contact the Alaska Maritime National Wildlife Refuge or the offices of the Izembek National Wildlife Refuge in Cold Bay, Alaska for further information.",2,"At least 100 and fewer than 1,000 walruses",2010,"Predominately males",1,1,1,1,0
64,"Cape Schmidt","Ryrkaipii; Ryrkaipiy; Mys Shmidta; Cape Kozhevnikov; Utios Kozhevnikov","Мыс Шмидта","RU","Chukchi","Western Chukchi Coast","-179.48194","68.93064","Haulout Description: Rocky slopes and beach on eastern both sides of the Utios Kozhevnikov cliffs and adjoining spit 700 meters north of the settlement of Ryrkaipii.  ""Utios Kozhevnikov"" is official name from Russian geographical maps and is part of Cape Schmidt. Another settlement, Cape Schmidt, lies 4 km to the east of this haulout.  ""Ryrkaipiy"" means the ""limit of walrus moving"" in the Chukchi language.

Historical Use:  
Arsen'ev (1927) noted Cape Schmidt as a large haulout in the end of 19th century or begin of the 20th century.  During the early 1930's a large urban settlement was built near the site of the haulout, which may have contributed to the lack of observed haulout use until Kavry and others (2008) note the formation of a large haulout of more 40,000 walruses in September of 2007 (Kochnev 2012).  Thereafter (2007 -2014), regular use has been reported, though not every year, with counts approaching 50,000 (Semenova and others 2010, Kochnev 2012, Pereverzev and Kochnev 2012, Maksim Deminov written communication and photograph 2014).  The haulout has been used by both adult males and by females and young, with the females and young replacing the adult males on the haulout as the season progresses from August through October (Semenova and others 2010, Pereverzev and Kochnev 2012).  Overall, the age-sex composition is about 10% male, similar to the Wrangel Island haulouts.  During the 2011 haulout large number of walruses of calves of the year and older age classes of both sexes were found dead (n = 123), and the deaths were attributed to both trampling and falls down steep rocking slopes, with polar bears playing a role (Pereverzev and Kochnev 2012, Kochnev 2012).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Predominately females and dependent calves",0,0,1,1,0
65,"Cape Semenov","Lekalo Spit; Cape Semionova","мыс Семенова","RU","Bering","Kamchatka and Commander Islands","163.68805","58.98772","Haulout Description:  
Headland south of Lekalo Spit on Karaginski Island.

Historical Use:  
First noted in 1878 (Peskov, 1995) and later in 1939 (Nikulin 1941). Regular use by walruses reported during the 1980's by up to 2,000 walruses (Semenov and others 1988, Burkanov 1988, Kitayev 1988, Testin 2004).  During the 1990 aerial survey 260 walruses were counted from the air on September 3 (Gilbert and others 1992).  Semenov and others (1988) indicate that only male walruses have been reported at the Kamchatka haulouts, however the sex/age composition of this haulout has not been reported.",3,"At least 1,000 and fewer than 10,000 walruses",1990,"Not reported",0,0,1,1,0
66,"Cape Seniavin",,,"US","Bering","Alaska Peninsula","-160.14715","56.39910","Haulout description:
A prominent sandstone bluff on the Alaska Peninsula, 95 km south-southwest from Port Heiden. Walruses typically haulout along the sandy beaches at the base of the bluff.

History of use:
Cape Seniavin has seen regular summer use by adult male walruses since the late 1970's (Frost and others 1982, Kruse and Jack 1998, Snively 2003, USFWS office of Marine Mammals Management unpublished reports).  Herd sizes typically range from a few hundred to several thousand animals. The reported season of use is April through September, with peak use is in July (USFWS office of Marine Mammals Management unpublished reports).  During the 2000's and 2010's Cape Seniavin has become one of the largest and most consistently used walrus haulout sites in Bristol Bay and been actively monitored by remote cameras during 2012-2015 by the Alaska Sea Life Center with support from the USFWS office of Marine Mammals Management and the Alaska Peninsula National Wildlife Refuge.  For more information regarding haulout use at this site, contact the Alaska Department of Fish and Game office in King Salmon, Alaska of or the US Fish and Wildllife Service office of Marine Mammals Mangement.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately males",0,1,1,0,0
67,"Cape Serdtse-Kamen'","Cape Serdtse-Kamen; Cape Sertse-Kamen","мыс Сердце-Камень","RU","Chukchi","Western Chukchi Coast","-171.56909","66.80834","Haulout Description:  
Prominent cape Location 110 km northwest of the Bering Strait.  Map location is center of haulout by mouth of river, 5 km southwest from the cape.  During peak usage, the haulout extends over approximately 30 km of coastline from the cape to the southeast (Kochnev 2010b).

Historical Use:  
Use prior to 1927 is noted by Arsen'ev (1927). Nikulin (1941) noted use by walruses in 1937. Regularly use by walruses in ice-free autumns during all of the 20th Century up to the present (Belopl'skii 1939, Grachev and Mymrin, 1991; Zheleznov-Chukotsky and others, 2003; Kochnev, 2010b, unpublished data).  
Use was noted during the 1960, 1964, 1975, 1980, 1985, 1990 aerial surveys (Fedoseev, 1966; Gol'tsev, 1968; Fedoseev, 1981; Estes and Gol'tsev, 1984; Fedoseev, Razlivalov, 1986; Gilbert and others 1992).  In early October of 1975 Estes and Gol'tsev (1984) used extrapolation from aerial and density estimates to enumerate between 9 and 12 thousand walruses.  The 1990 aerial survey indicated more than 12 thousand walruses on 30 September (Gilbert and others, 1992).  Estimates from 97,000 to 115,000 walruses of mixed age and sex classes are noted in October of 2009 and 2011 (Kochnev, 2010b; Chakilev and others, 2012; Kochnev 2012).  Residents from Enurmino and Inchoun indicated that the exceptionally large haulout documented during 2009 and 2011 may have formed similarly large in the years of sea ice scarcity prior to the 2009 monitoring effort (Kochnev, 2010b).  During the 2011 monitoring effort, mortalities (n=120) attributed to trampling was noted that disproportionately affected younger animals (Kochnev 2012).",5,"more than 100,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,1
68,"Cape Shelagsky",,"мыс Шелагский","RU","East Siberian","East Siberian coast","170.45477","70.10131","Haulout Description:  
Cape on the eastern entrance to Chaunskaya Bay.

Historical Use:  
First noted by V.K. Arsen'ev (1927) prior to 1927. In the 1970's through the 1990's local hunters report regular use by several dozen walruses, but indicate that it was not used every year (oral communication to A.A. Kochnev of ChukotTINRO).  Local residents reported that several walruses hauled out in 2007 (V. Kavry oral communication to Chukot TINRO).",1,"At least 10 and fewer than 100 walruses",2000,"not reported",0,0,1,1,0
69,"Anastasii Bay","Anastasia Bay; Cape Skladchatyi; Cape Skladchaty","Мыс Складчатый; бухта Анастасии","RU","Bering","Koryak Coast","173.05330","61.38898","Haulout Description:  
There are several haulout locations within the approximately 9 km wide Anastasia Bay.  Observations during 1982 through 2015 indicate that Kruglaya Bay,  a small (< 1 km wide) rounded embayment on the south side of Anastasii Bay, has received the most regular use, however, hauled out walruses have been occasionally been observed on the northern shores of Anastasii Bay near Cape Skladchaty (173.0532 E, 61.3890 N; V. Burkanov written communication).

Historical Use:  

Fay (1982) cites Pinigin and Prianishnikov (1975), and a personal communication from  V. N. Gol'tsev for use of this cape by walruses in June 1975.  Use was noted during 1980 and 1990 aerial surveys with a maximum ground count of 1,450 on 19 August 1990 (Fedoseev 1981, Gilbert and others 1992).  Monitoring efforts conducted from 1982 through 2015 during the ice-free season season have reported regular use with peak numbers exceeding 1,000, and 50 walruses were observed here during June 0f 2015 (Semenov and others 1988, Burkanov 1988, Burkanov and others 1988, Kalinichenko 1991, Chugunkov and Kalinichenko 1996, Kalinichenko and Chugunkov 1996, Grachev 2000, Testin 2004, V.Burkanov written communication).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Predominately males",0,1,1,1,0
70,"Cape Skobelev",,"мыс Скобелева","RU","Bering","Bering Strait and Chirikov Basin","-172.74665","64.45558","Haulout Description:  
Cape at eastern mouth of embayment 23 km west of Cape Chaplina in the Anadyr Strait.

Historical Use:  
Local hunters report sporadic use by single or tens of walruses during 1995 through 1999 (oral communication to A.A. Kochnev of ChukotTINRO).",1,"At least 10 and fewer than 100 walruses",1990,"not reported",0,0,0,0,0
71,"Cape Temny","Cape Tiomney; Temnyy","мыс Темный","RU","Bering","Koryak Coast","171.15056","60.54500","Haulout Description: 
Cape east of Burunney Islands in the southern Koryak Coast approximately 75 km northeast from Cape Olyutorsky.

Historical Use:  
Use by 375 walruses on September 5 was noted during the 1990 aerial survey (Gilbert and others 1992).",2,"At least 100 and fewer than 1,000 walruses",1990,"Not reported",0,0,1,0,0
72,"Cape Thompson","Wevok; Near Cape",,"US","Chukchi","Eastern Chukchi Sea","-165.97778","68.14389","Haulout description:
Southeast of Point Hope. Specific haulout sites variable within and between years. 

History of use:
Cape Thompson is a historically important haulout site that was occupied regularly by large numbers of walruses in the 1930's and 1940's (Fay 1957). Frost and others (1983) report little use of the Cape Thompson haulout in the 1950's-1980's. Point Hope residents report sporadic sightings of small groups (tens to hundreds) of walruses at Cape Thompson since the 1990's (Ronald Oviok Sr. of the Eskimo Walrus Commission oral communication to USFWS, 2013).  Contact the Alaska Maritime National Wildlife Service for further information.",2,"At least 100 and fewer than 1,000 walruses",2000,"Mixed age and sex classes",0,0,1,0,0
74,"Cape Unikyn","Uten","мыс Уникын","RU","Chukchi","Western Chukchi Coast","-170.68176","66.42106","Haulout Description:  
Cape 28 km west northwest of Cape Inchoun.  Haulout location extends as a linear feature from the cape to the east based on tracked walrus locations in 2010 (ChukotTINRO / USGS unpublished data).

Historical Use:  
First noted by Karayev (1926) and Nikulin (1941). In the 1990's and 2000's local hunters report regular use by up to 10,000 walruses of mixed age and sex classes in a late autumn (oral communication to A.A. Kochnev of ChukotTINRO, Kochnev 2004).  Haulout monitoring efforts during 2011 indicate use by tens of thousands of walruses of mixed age and sex classes during October and November (Kochnev 2012).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Mixed age and sex classes",0,0,0,1,1
75,"Cape Vankarem",,"мыс Ванкарем","RU","Chukchi","Western Chukchi Coast","-175.81378","67.84808","Haulout Description:
Large cape of 10 to 15 m height extending northeast from the community of Vankarem with low beaches, rocky terrain and steep cliffs.  The haulout includes the small (180 m wide) Karkarpko Island with blocky rocks and pebbles approximately 2 km to the east of the cape.  

Historical Use:
First noted by Arsen'ev (1927) and Nikulin (1941). The cape was generally not used from the 1930's to the middle of 1990's, with only occasional use by some 600 walruses in 1964 on the Karkarpko Island (Goltsev 1968, Kavry and others 2006). From the late 1990's to present it received regular use (Kochnev 2004, Kavry and others 2006, Kavry and others 2008, Kochnev and others, 2008b; Kryukova and Kochnev 2012).  Walrus begin using the site during ice-free conditions beginning in September and extending into the November (Kavry and others 2006).  Estimates in excess of 35,000 made in October of 2010 by Chukot TINRO (N. Kryukova, unpublished data).  
Estimates in excess of 16,000 made in September of 2011 (Kryukova and Kochnev 2011, Kochnev 2012).  Observations on the composition of the haulout during 2011 indicate that use of the haulout shifts from predominately males to predominantly females and young during the course of the haulout season (August through October; Kochnev 2012).  Substantial mortality events associated with trampling, falls from steep terrain, and with the separation of dependent young are reported and have disproportionately affected dependent young (Kochnev 2004, Kavry and others 2006, Kochnev 2012).",4,"At least 10,000 and fewer than 100,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,0
76,"Cape Waring",,"мыс Уэринг","RU","Chukchi","Wrangel Island area","-177.51357","71.26525","Haulout Description:  
Cape on eastern promontory of Wrangel Island.

Historical Use:  
Use was noted during the 1964 aerial survey (Gol'tsev, 1968).  No use was noted for many years until a resurgence of use in 2009 (Ovsyanikov and Menyushina 2012).  On September 1, 2015 a walrus tracked from the Northeastern Chukchi Sea was tracked to Cape Waring by USGS (USGS unpublished data accessed on line 1 November 2015; http://alaska.usgs.gov/science/biology/walrus/tracking.html).",3,"At least 1,000 and fewer than 10,000 walruses",2010,"not reported",0,0,1,0,0
77,"Cape Zosima",,"мыс Зосима","RU","Bering","Koryak Coast","172.46666","61.06660","Haulout Description:  
Cape 3 km south of Bogoslov Island along the central Koryak coast.

Historical Use:  
Use noted in the 1970's and 1980's, with up to 1,500 animals reported during the 1970's and up to 150 animals noted in September of 1989 (Kosygin and Sobolevsky 1971, Kosygin 1975, Kalinichenko 1990).",3,"At least 1,000 and fewer than 10,000 walruses",1980,"Predominately males",0,0,1,1,0
78,"Chegitun River mouth",,"устье реки Чегитун","RU","Chukchi","Western Chukchi Coast","-171.05197","66.55678","Haulout Description:  
Beaches at the mouth of the Chegitun River, 77 km northwest along the northern Chukchi coast from the Bering Strait.

Historical Use:  
First noted by Nikulin (1941). Local hunters reported irregular used by huge walrus numbers in late autumn of the 1990's through the 2010's (oral communication to A.A. Kochnev of the ChukotTINRO).  In summer of 2008 the Russian border guards (personal communication to A.A. Kochnev) have counted over 800 carcasses of the walruses that had apparently died the during the previous year at the Chegitun River mouth. Because this is a very considerable quantity of the dead walruses relative to other haulout mortality events reported on the coasts of Chukotka and Alaska, the authors consider this evidence that more than ten thousand walruses had occupied this haulout during 2007.",4,"At least 10,000 and fewer than 100,000 walruses",2010,"not reported",0,0,0,1,0
79,"Chengkuul' Island","near Ayon Island","остров Ченгкууль","RU","East Siberian","East Siberian coast","169.27545","69.92621","Haulout Description:  
Small island close to north coast of Ayon Island near Lyoveem Creek mouth in Chaunskaya Bay.  

Historical Use:  
Ayon local residents conveyed knowledge to A.A. Kochnev (Chukot TINRO) of 20th century haulout use by fewer than 10 walruses.  V. Kavry indicated the use of this haulout (V. Kavry of the Polar Bear Patrol personal communication to A.A. Kochnev of the Chukotka branch of TINRO-center).",0,"Fewer than 10 walruses",2000,"not reported",0,0,0,0,0
80,"Cinder River",,,"US","Bering","Alaska Peninsula","-158.07000","57.38000","Haulout description:
Offshore sand bars near the mouth of the Cinder River on the Alaska Peninsula.   This area is within the State of Alaska Department of Fish and Game Cinder River Critical Habitat Area.

History of use:
Sporadic sightings of single animals and small groups of animals near the mouth of the Cinder River were reported in the 1960's and 1970's (Frost and others 1982; Fay and Lowry 1981). During October of 1981, Joe Phillips and a King Cover resident observed a single walrus hauled out, which was observed to have died and been consumed by a brown bear (oral communication to A. Fischbach of the USGS, 2015).  There have been no recent sighting reports.    For more information regarding haulout use at this site, contact the Alaska Department of Fish and Game office in King Salmon, Alaska of or the US Fish and Wildllife Service office of Marine Mammals Mangement.",0,"Fewer than 10 walruses",1980,"Predominately males",0,1,1,1,0
81,"Corwin Bluff",,,"US","Chukchi","Eastern Chukchi Sea","-165.10200","68.87500","Haulout description:
Southern Ledyard Bay, east of the bluff near a creek mouth.

History of use:
Irregular haulout use was reported at Corwin Bluff from the mid 1970's through late 1990's (Dave Roseneau, Alaska Maritime National Wildlife Refuge, oral communication to A.S. Fischbach of the USGS , 2009).  In recent years, (2007-2012) herds ranging in size from 200 to 1,200 animals have been sighted near Corwin Bluff during coastal aerial surveys conducted in August and September (Ireland and others 2009; Clarke 2011). Corwin Bluff has been one of the most consistently used walrus haulout sites in the eastern Chukchi Sea in recent years; occupancy generally coincides with periods of low-ice concentrations in offshore feeding areas.  Contact the Arctic Slope Regional Corporation for further information.",3,"At least 1,000 and fewer than 10,000 walruses",2010,"Mixed age and sex classes",0,0,1,1,0
82,"Crooked Island","Ostrov Nizkoy (Low Island);  Ostrov Ugushtu & Ostrov Nunalignak, Ugumitu","Остров Низкой, Остров Угощтю & Остров Нуналыгнак","US","Bering","Bristol Bay","-160.28000","58.68000","Haulout description:
Crooked Island is part of the Walrus Islands State Game Sanctuary in northern Bristol Bay, established in 1960 by the Alaska Legislature (Alaska Statute 16.20.090).  Early Russian American explorers identified Crooked Island as two islands (Остров Угощтю & Остров Нуналыгнак: Ostrov Ugushtu & Ostrov Nunalignak) not recognizing the lowland connection between the two halves (Tebenkov 1852, Pierce 1981).


History of use:
The Walrus Islands are a historically important haulout area for Pacific walruses, with sighting records dating back to the 1800's (Korsakovskiy 1818 in VanStone 1988, Fay 1957, Frost and others 1982).  Irregular sightings of small groups of more than 20 walruses were reported in the 1950's (Frost and others 1982). Use is reported during May through July of 1990  (E. Weiss of the Alaska Department of Fish and Game written communication to J. Garlich-Miller, 2013).  Captain Don Winkleman reported to Round Island staff 200 walruses on west side of Crooked Island 8 August 1990.  There have been no recent monitoring effort or reports.  For more information regarding haulout use at this site, contact the Alaska Department of Fish and Game office in Dillingham, Alaska or view the web site http://www.adfg.alaska.gov/index.cfm?adfg=walrusislands.resources).",1,"At least 10 and fewer than 100 walruses",1990,"Predominately males",0,1,1,0,0
